一望+いちぼう(0)-  1. one sweep (of the eye); sweeping view; unbroken view
珈琲+コーヒー-  1. coffee
浮浪者+ふろうしゃ(2)-  1. vagrant; vagabond; tramp
ご機嫌麗しゅうございます+no data
虚ろ+うつろ(0)-  1. cavity; hollow; void 2. hollow (voice, smile, etc.); blank (eyes, look, etc.); vacant (expression, stare, etc.); empty (words, heart, etc.)
突き動かす+つきうごかす(5)-  1. to stimulate; to stir up; to arouse
一太刀+ひとたち(2)-  1. stroke of sword
搦め手+からめて(0)-  1. rear gate (esp. of castle); back entrance 2. one who arrests 3. force attacking the rear of a castle 4. (opponent's) weak point
朦朧+もうろう(0)-  1. dim; hazy; vague; indistinct; faint; fuzzy; cloudy; obscure
甲斐性+かいしょう(3)-  1. resourcefulness; ability (esp. to earn a living); dependability; reliability
手下+てした(3)-  1. subordinate; underling; henchman; minion
湿る+しめる(0)-  1. to become damp; to become moist; to become wet 2. to lack energy; to be in a slump; to be in low spirits; to feel depressed
爛れる+ただれる(0)-  1. to be sore; to be inflamed; to be bleary; to fester 2. to be dissipated; to be dissolute; to indulge in
怨嗟+えんさ(1)-  1. (deeply held) resentment
無機質+むきしつ(2)-  1. inorganic matter; mineral matter 2. cold; inhuman; robotic
滑空+かっくう(0)-  1. gliding (through the air)
